Generation,Individual,Fitness
0,0,-16979250156
0,1,-16485465204
0,3,-16940846424
0,2,-16145921833
0,5,-16172525012
0,4,-16462292760
0,6,-16678739671
0,7,-16639969118
0,8,-16317024907
0,9,-16480982816
1,0,-16145921833
1,1,-16172525012
1,3,-16462292760
1,2,-16317024907
1,5,-16120891129
1,4,-16480982816
1,6,-16684388957
1,7,-15966726958
1,8,-16650426305
1,9,-16508525940
2,1,-16120891129
2,0,-15966726958
2,2,-16145921833
2,3,-16172525012
2,5,-16515418939
2,4,-16317024907
2,6,-16506184185
2,7,-16139438523
2,9,-16373703779
2,8,-16680075892
3,1,-16120891129
3,0,-15966726958
3,2,-16139438523
3,3,-16145921833
3,4,-16172525012
3,5,-16729192707
3,6,-16328197006
3,7,-16664586862
3,8,-16361210186
3,9,-16131196011
4,1,-16120891129
4,0,-15966726958
4,2,-16131196011
4,3,-16139438523
4,5,-16279876892
4,4,-16145921833
4,6,-15946027868
4,7,-16272295133
4,8,-16026011278
4,9,-16754596005
5,1,-15966726958
5,0,-15946027868
5,3,-16120891129
5,2,-16026011278
5,4,-16131196011
5,5,-16331498053
5,7,-16855822945
5,6,-16043205859
5,8,-16389807468
5,9,-16244051540
6,0,-15946027868
6,1,-15966726958
6,2,-16026011278
6,3,-16043205859
6,4,-16120891129
6,5,-16498573787
6,6,-16771440730
6,7,-16579127799
6,8,-16065490937
6,9,-16238806558
7,0,-15946027868
7,1,-15966726958
7,2,-16026011278
7,3,-16043205859
7,5,-16269921352
7,4,-16065490937
7,6,-16111640335
7,7,-16256081311
7,9,-16152558821
7,8,-16247536985
8,0,-15946027868
8,1,-15966726958
8,2,-16026011278
8,3,-16043205859
8,4,-16065490937
8,5,-16023363644
8,7,-16087183976
8,6,-16309363451
8,9,-16256489646
8,8,-16305056072
9,0,-15946027868
9,1,-15966726958
9,3,-16026011278
9,2,-16023363644
9,5,-16182725189
9,4,-16043205859
9,6,-15916915384
9,7,-16000255582
9,8,-16223471751
9,9,-16035969126
