Generation,Individual,Fitness
0,0,16977543135.3738
0,1,16483808232.2208
0,3,16939142098.4606
0,2,16144297916.5035
0,5,16170898823.859
0,4,16460637112.8344
0,6,16677062322.5257
0,7,16638296135.7324
0,9,16479325232.403
0,8,16315384431.6639
1,1,16939142098.4606
1,0,16977543135.3738
1,2,16677062322.5257
1,3,16638296135.7324
1,4,16483808232.2208
1,5,17168361264.6003
1,6,16945855831.3026
1,7,16616221564.9752
1,8,17640418528.3532
1,9,16989135618.7987
2,1,17168361264.6003
2,0,17640418528.3532
2,3,16977543135.3738
2,2,16989135618.7987
2,4,16945855831.3026
2,5,16573432477.4703
2,6,17422291685.9799
2,7,16820795881.7176
2,8,17310884875.3039
2,9,17482216464.2743
3,1,17482216464.2743
3,0,17640418528.3532
3,2,17422291685.9799
3,3,17310884875.3039
3,4,17168361264.6003
3,5,17128206886.9524
3,6,17023955777.2162
3,7,17392836636.7675
3,8,17318182572.5808
3,9,17139235468.4617
4,1,17482216464.2743
4,0,17640418528.3532
4,2,17422291685.9799
4,3,17392836636.7675
4,4,17318182572.5808
4,5,17530356450.7229
4,6,16967188001.4965
4,7,17060384056.9894
4,8,17408695977.7864
4,9,17500645178.5318
5,0,17640418528.3532
5,1,17530356450.7229
5,2,17500645178.5318
5,3,17482216464.2743
5,5,17481452169.9802
5,4,17422291685.9799
5,6,17639282945.7451
5,7,17615676502.6297
5,8,17169758127.5918
5,9,17589671708.7277
6,1,17639282945.7451
6,0,17640418528.3532
6,2,17615676502.6297
6,3,17589671708.7277
6,5,17375989322.5333
6,4,17530356450.7229
6,6,17539181961.0881
6,7,17220697759.4812
6,8,17653284618.6999
6,9,17756723261.8545
7,1,17653284618.6999
7,0,17756723261.8545
7,2,17640418528.3532
7,3,17639282945.7451
7,4,17615676502.6297
7,5,17560413740.4606
7,6,17604467019.1504
7,7,17458904178.9113
7,8,17401239353.9363
7,9,17520348163.5706
8,0,17756723261.8545
8,1,17653284618.6999
8,3,17639282945.7451
8,2,17640418528.3532
8,5,18015396499.5815
8,4,17615676502.6297
8,7,17849370224.8917
8,6,17003839914.5173
8,9,17817020107.4858
8,8,17374932391.0238
9,1,17849370224.8917
9,0,18015396499.5815
9,2,17817020107.4858
9,3,17756723261.8545
9,4,17653284618.6999
9,5,17309589509.0049
9,6,17480534823.8987
9,7,17646575434.3416
9,8,17849689227.1307
9,9,17810448295.5622
