Generation,pop_size,best,worst,mean,median,stdev,best_improvement,best_improvement_pct,best_cumulative_pct
0,18,17245318906.7217,16144297916.5035,16680317485.715061,16657679229.129051,344310204.31341195,0.0,0.0,0.0
1,18,17483724442.197,16520928174.1974,16998315125.391893,16976843621.55835,250832087.24587715,238405535.47529984,1.3824362237939052,1.3824362237939052
2,18,17703280717.2252,16646572837.9141,17173468402.19366,17159986514.82375,251527083.6191619,219556275.02820206,1.2557751968356503,2.6555717118400306
3,18,17703280717.2252,16521948803.0216,17281408580.951805,17230560462.1177,297381858.594309,0.0,0.0,2.6555717118400306
4,18,17703280717.2252,16918710233.1517,17386207007.188232,17465799971.3893,235457798.94796383,0.0,0.0,2.6555717118400306
5,18,17703280717.2252,16818795317.2193,17434790659.491802,17494429958.8907,272088886.55320764,0.0,0.0,2.6555717118400306
6,18,17891461386.4742,16998344510.9235,17514284685.991604,17575790796.6232,252744049.51724628,188180669.24900055,1.0629705999402796,3.7467702583375004
7,18,17891461386.4742,16967920948.4889,17542118355.02039,17625975084.760147,281366486.7832767,0.0,0.0,3.7467702583375004
8,18,17891461386.4742,17019560605.2151,17553604696.05258,17662424476.59235,273838440.15786815,0.0,0.0,3.7467702583375004
9,18,17891461386.4742,17019223873.7604,17503494185.909916,17639982503.1463,306693792.04678375,0.0,0.0,3.7467702583375004
10,18,17891461386.4742,16946558248.8056,17548094545.315643,17689771240.443253,325142225.76039594,0.0,0.0,3.7467702583375004
11,18,17960375303.3452,16844570713.1793,17599440657.745865,17726388542.02845,346753658.09087676,68913916.87099838,0.3851776855025199,4.146379666802182
12,18,18019109257.283,17080378219.3101,17678523753.892338,17771925355.1612,274421452.07301605,58733953.93780136,0.32701963598089123,4.486958778475835
13,18,18019109257.283,17168989099.8971,17708825905.95359,17809685417.9457,248162505.54611567,0.0,0.0,4.486958778475835
14,18,18083636008.0016,17277684561.155,17799062713.4909,17856422656.235397,216560782.98380113,64526750.71859741,0.3581017784911696,4.861128436152892
15,18,18218612412.3787,16863514926.7989,17782269542.412098,17889650839.30375,367792957.6954332,134976404.3771019,0.7464008030098477,5.643812740845525
16,18,18218612412.3787,17572981850.2768,17902758278.025696,17937785940.641953,168813594.98967418,0.0,0.0,5.643812740845525
17,18,18681802318.0137,17070321352.0687,17825491760.286575,17947004253.529602,383037539.5729679,463189905.6349983,2.5423994712148454,8.329700477339983
18,18,18681802318.0137,17133750616.3357,17891305212.892048,17980418236.237747,353497139.0605078,0.0,0.0,8.329700477339983
19,18,18681802318.0137,17656457331.8412,18041144715.45862,18027764664.21525,232044107.04932964,0.0,0.0,8.329700477339983
