Generation,pop_size,best,worst,mean,median,stdev,best_improvement,best_improvement_pct,best_cumulative_pct
0,10,-16145921833,-16979250156,-16530301790.1,-16483224010.0,285670628.33315974,0.0,0.0,0.0
1,10,-15966726958,-16684388957,-16350970661.7,-16389658833.5,242803276.33969215,179194875.0,1.1098460456667814,1.1098460456667814
2,10,-15966726958,-16680075892,-16293791115.7,-16244774959.5,223017777.90651974,0.0,0.0,1.1098460456667814
3,10,-15966726958,-16729192707,-16275988622.7,-16159223422.5,247952032.14630157,0.0,0.0,1.1098460456667814
4,10,-15946027868,-16754596005,-16178298163.0,-16135317267.0,231240257.44203854,20699090.0,0.12963890504577638,1.2380461584512614
5,10,-15946027868,-16855822945,-16205523910.9,-16126043570.0,272809373.14151204,0.0,0.0,1.2380461584512614
6,10,-15946027868,-16771440730,-16225630290.3,-16093191033.0,289154143.5881827,0.0,0.0,1.2380461584512614
7,10,-15946027868,-16269921352,-16108520170.4,-16088565636.0,119505322.75457063,0.0,0.0,1.2380461584512614
8,10,-15946027868,-16309363451,-16102891968.9,-16054348398.0,136497336.2766806,0.0,0.0,1.2380461584512614
9,10,-15916915384,-16223471751,-16036467263.9,-16024687461.0,97374238.34672223,29112484.0,0.18256887697043375,1.4183547484538352
